index,Job Title,Rating,Name,City,State,Headquarters,Size,Calculated Size,Founded,Type of ownership,Industry,Sector,Revenue,Calculated_Revenue,Lower_Salary,Upper_Salary,Avg_Salary,company_txt,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
751,Staff Scientist- Upstream PD,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,118,189,153.5,h2o.ai,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,na,M
822,Quality Control Scientist III- Analytical Development,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,110,175,142.5,Nuna,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
921,Staff Scientist-Downstream Process Development,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,64,111,87.5,Pinnacol Assurance,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,na,M
4,Data Scientist,2.9,"Affinity Solutions
2.9",New York,NY,"New York, NY",51 - 200 ,Small,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$25-$50 million,81,130,105.5,Porch,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
406,Staff BI and Data Engineer,2.9,"Affinity Solutions
2.9",San Jose,CA,"New York, NY",51 - 200 ,Small,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$25-$50 million,73,119,96,Health IQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,sr,P
585,Staff BI and Data Engineer,2.9,"Affinity Solutions
2.9",San Jose,CA,"New York, NY",51 - 200 ,Small,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$25-$50 million,86,139,112.5,Truckstop.com,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,na,M
499,"Scientist, Pharmacometrics",3.8,"Agios Pharmaceuticals
3.8",Cambridge,MA,"Cambridge, MA",501 - 1000 ,Medium,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),$50-$100 million,63,105,84,SMC 3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,na,M
754,"Scientist, Pharmacometrics",3.8,"Agios Pharmaceuticals
3.8",Cambridge,MA,"Cambridge, MA",501 - 1000 ,Medium,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),$50-$100 million,109,177,143,Novetta,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Data Scientist,na,na
825,"Manager, Safety Scientist, Medical Safety & Risk Management",3.8,"Agios Pharmaceuticals
3.8",Cambridge,MA,"Cambridge, MA",501 - 1000 ,Medium,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),$50-$100 million,63,110,86.5,Pfizer,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
421,Data Engineer,3.5,"Alignment Healthcare
3.5",Orange,CA,"Orange, CA",501 - 1000 ,Medium,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$500 million-$1 billion,75,124,99.5,First Tech Federal Credit Union,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,Data Scientist,na,na
617,Data Engineer,3.5,"Alignment Healthcare
3.5",Orange,CA,"Orange, CA",501 - 1000 ,Medium,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$500 million-$1 billion,34,61,47.5,The Hanover Insurance Group,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Analyst,na,na
836,Data Engineer,3.5,"Alignment Healthcare
3.5",Orange,CA,"Orange, CA",501 - 1000 ,Medium,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$500 million-$1 billion,63,105,84,Pfizer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
143,Project Scientist,4,"Alliance Source Testing
4.0",Alabaster,AL,"Decatur, AL",51 - 200 ,Small,2000,Other Organization,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),$25-$50 million,80,90,85,KnowBe4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
119,Senior Data Scientist,3.3,"American Axle & Manufacturing
3.3",Southfield,MI,"Detroit, MI",10000+ ,Enterprise,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),$2-$10 billion,56,97,76.5,PNNL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
519,Data Analyst Senior,3,"AmeriHealth Caritas
3.0",Philadelphia,PA,"Philadelphia, PA",5001 - 10000 ,Large,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),$2-$10 billion,72,120,96,Amrock,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
779,Data Analyst Senior,3,"AmeriHealth Caritas
3.0",Philadelphia,PA,"Philadelphia, PA",5001 - 10000 ,Large,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),$2-$10 billion,86,143,114.5,Novartis,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Data Scientist,na,na
310,Data Scientist,3,"Ameritas Life Insurance Corp
3.0",Cincinnati,OH,"Lincoln, NE",1001 - 5000 ,Large,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),$2-$10 billion,93,149,121,Juniper Networks,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,Data Scientist,na,M
32,Data Scientist,3.6,"Amrock
3.6",Detroit,MI,"Detroit, MI",1001 - 5000 ,Large,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),$500 million-$1 billion,85,140,112.5,New England Biolabs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
349,Data Scientist,3.6,"Amrock
3.6",Detroit,MI,"Detroit, MI",1001 - 5000 ,Large,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),$500 million-$1 billion,77,135,106,Clarity Insights,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Analyst,na,na
357,Data Engineer,4.6,"Applied Information Sciences
4.6",Houston,TX,"Reston, VA",501 - 1000 ,Medium,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),$50-$100 million,82,132,107,Esri,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Data Scientist,na,M
526,Geospatial Software Developer and Data Scientist,3.7,"Applied Research Laboratories
3.7",Austin,TX,"Austin, TX",501 - 1000 ,Medium,1945,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,< $25 million,83,137,110,Systems & Technology Research,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,Data Scientist,na,P
789,Geospatial Software Developer and Data Scientist,3.7,"Applied Research Laboratories
3.7",Austin,TX,"Austin, TX",501 - 1000 ,Medium,1945,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,< $25 million,115,180,147.5,Sartorius,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,sr,M
471,IT - Data Engineer II,3.4,"Arbella Insurance
3.4",Quincy,MA,"Quincy, MA",1001 - 5000 ,Large,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),$100-$500 million,74,138,106,Lancer Insurance,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,na,M
702,IT - Data Engineer II,3.4,"Arbella Insurance
3.4",Quincy,MA,"Quincy, MA",1001 - 5000 ,Large,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),$100-$500 million,64,112,88,Sauce Labs,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,Analyst,na,na
944,IT - Data Engineer II,3.4,"Arbella Insurance
3.4",Quincy,MA,"Quincy, MA",1001 - 5000 ,Large,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),$100-$500 million,110,175,142.5,Nuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
211,Sr. Data Scientist II,3.4,"Argo Group US
3.4",New York,NY,"Hamilton, Bermuda",1001 - 5000 ,Large,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),$1-$2 billion,52,113,82.5,Edgewell Personal Care,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,M
339,Sr. Data Scientist II,3.4,"Argo Group US
3.4",New York,NY,"Hamilton, Bermuda",1001 - 5000 ,Large,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),$1-$2 billion,110,150,130,Equity Residential,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Data Scientist,sr,M
483,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,3.8,"Associated Banc-Corp
3.8",Green Bay,WI,"Green Bay, WI",1001 - 5000 ,Large,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),$1-$2 billion,150,160,155,BPA Services,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
721,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,3.8,"Associated Banc-Corp
3.8",Green Bay,WI,"Green Bay, WI",1001 - 5000 ,Large,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),$1-$2 billion,158,211,184.5,Visa Inc.,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Data Scientist,sr,na
212,Excel / VBA / SQL Data Analyst,4.1,"Associated Electric Cooperative
4.1",Springfield,MO,"Springfield, MO",501 - 1000 ,Medium,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),$1-$2 billion,20,39,29.5,Intrado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Analyst,na,M
344,Excel / VBA / SQL Data Analyst,4.1,"Associated Electric Cooperative
4.1",Springfield,MO,"Springfield, MO",501 - 1000 ,Medium,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),$1-$2 billion,56,117,86.5,Centauri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,M
507,Sr Software Engineer (Data Scientist),3.4,"Assurant
3.4",Westlake,OH,"New York, NY",10000+ ,Enterprise,1978,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),$2-$10 billion,63,99,81,Caterpillar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,na,na
766,Sr Software Engineer (Data Scientist),3.4,"Assurant
3.4",Westlake,OH,"New York, NY",10000+ ,Enterprise,1978,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),$2-$10 billion,68,114,91,Zimmerman Advertising,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,na,na
446,Senior Data Scientist - R&D Oncology,3.9,"AstraZeneca
3.9",New York,NY,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,86,143,114.5,Liberty Mutual Insurance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
623,Senior Data Scientist Oncology,3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,41,95,68,"Torch Technologies, Inc.",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,na,na
638,"Associate Principal Scientist, Pharmacogenomics",3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,86,144,115,Swiss Re,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
665,Senior Data Scientist - R&D Oncology,3.9,"AstraZeneca
3.9",New York,NY,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,80,139,109.5,Northrop Grumman,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,na,na
799,Principal Data Scientist,3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,56,95,75.5,Sartorius,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
831,Scientist - CVRM Metabolism - in vivo pharmacology,3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,120,189,154.5,Netskope,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Data Scientist,na,P
858,"Associate Principal Scientist, Pharmacogenomics",3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,111,176,143.5,1904labs,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Data Scientist,na,na
900,Senior Data Scientist Oncology,3.9,"AstraZeneca
3.9",Gaithersburg,MD,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,54,93,73.5,ClearOne Advantage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
904,Senior Data Scientist - R&D Oncology,3.9,"AstraZeneca
3.9",New York,NY,"Cambridge, United Kingdom",10000+ ,Enterprise,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),>$10 billion,71,119,95,CyrusOne,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Data Scientist,na,na
454,"Scientist, Molecular/Cellular Biologist",2.9,"Audentes Therapeutics
2.9",South San Francisco,CA,"San Francisco, CA",201 - 500 ,Medium,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$25-$50 million,82,132,107,The David J. Joseph Company,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,sr,M
679,"Scientist, Molecular/Cellular Biologist",2.9,"Audentes Therapeutics
2.9",South San Francisco,CA,"San Francisco, CA",201 - 500 ,Medium,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$25-$50 million,84,146,115,USEReady,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,na,na
920,"Scientist, Molecular/Cellular Biologist",2.9,"Audentes Therapeutics
2.9",South San Francisco,CA,"San Francisco, CA",201 - 500 ,Medium,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$25-$50 million,107,172,139.5,Bill.com,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,sr,M
15,Data Engineer I,3.6,"Audible
3.6",Newark,NJ,"Newark, NJ",1001 - 5000 ,Large,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,$500 million-$1 billion,49,85,67,Pacific Northwest National Laboratory,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,na,M
129,Data Engineer,4,"Autodesk
4.0",San Francisco,CA,"San Rafael, CA",5001 - 10000 ,Large,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),$2-$10 billion,61,109,85,DICK'S Sporting Goods - Corporate,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,na,M
200,Senior Data Scientist,4,"Autodesk
4.0",San Francisco,CA,"San Rafael, CA",5001 - 10000 ,Large,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),$2-$10 billion,88,148,118,Berg Health,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,P
311,Senior Data Scientist,4,"Autodesk
4.0",San Francisco,CA,"San Rafael, CA",5001 - 10000 ,Large,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),$2-$10 billion,60,99,79.5,Oversight Systems,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Data Scientist,na,na
375,"Principal Data Engineer, Data Platform & Insights",4,"Autodesk
4.0",San Francisco,CA,"San Rafael, CA",5001 - 10000 ,Large,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),$2-$10 billion,41,72,56.5,C Space,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,na,na
170,Data Engineer,3.9,"AVANADE
3.9",Washington,DC,"Seattle, WA",10000+ ,Enterprise,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),$2-$10 billion,82,129,105.5,Applied Research Laboratories,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,na,na
616,Data Analyst,3.6,"AXION Healthcare Solutions
3.6",New York,NY,"New York, NY",Jan-50,Small,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),< $25 million,65,130,97.5,HP Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,M
832,Data Analyst,3.6,"AXION Healthcare Solutions
3.6",New York,NY,"New York, NY",Jan-50,Small,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),< $25 million,52,81,66.5,SpringML,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Analyst,na,na
299,Data Scientist,4.3,"Bakery Agency
4.3",Austin,TX,"Austin, TX",Jan-50,Small,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,< $25 million,139,220,179.5,Grainger,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
580,"Data Analyst, Performance Partnership",3.6,"Beckman Coulter Diagnostics
3.6",New York,NY,"Brea, CA",10000+ ,Enterprise,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),$2-$10 billion,50,102,76,EAG Laboratories,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,P
130,Ag Data Scientist,4.6,"Beck's Hybrids
4.6",Atlanta,IN,"Atlanta, IN",501 - 1000 ,Medium,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),$50-$100 million,85,139,112,The Buffalo Group,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,sr,M
209,MED TECH/LAB SCIENTIST - LABORATORY,3.6,"Beebe Healthcare
3.6",Lewes,DE,"Lewes, DE",1001 - 5000 ,Large,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),$100-$500 million,74,122,98,Carmeuse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,na,M
247,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,"Beebe Healthcare
3.6",Millville,DE,"Lewes, DE",1001 - 5000 ,Large,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),$100-$500 million,99,157,128,HP Inc.,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Data Scientist,sr,M
337,MED TECH/LAB SCIENTIST - LABORATORY,3.6,"Beebe Healthcare
3.6",Lewes,DE,"Lewes, DE",1001 - 5000 ,Large,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),$100-$500 million,79,222,150.5,h2o.ai,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Data Scientist,na,P
456,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,"Beebe Healthcare
3.6",Millville,DE,"Lewes, DE",1001 - 5000 ,Large,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),$100-$500 million,57,118,87.5,GNS Healthcare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,M
682,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,"Beebe Healthcare
3.6",Millville,DE,"Lewes, DE",1001 - 5000 ,Large,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),$100-$500 million,83,137,110,Peraton,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Data Scientist,na,na
